group,Day,Actinobacteria,Bacteroidia,Flavobacteria,Sphingobacteria,Unclassified Bacteroidetes,Bacilli,Clostridia,Unclassified Firmicutes,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Gammaproteobacteria,Unclassified Proteobacteria,Others,Unclassified
UA,29,0.263342462,0.008616659,0.030959856,0.021541647,0.011655868,0.118094984,0.028922584,0.007781711,0.254759201,0.096386347,0.008783648,0.031561018,0.020005344,0.000100194,0.097488478
UA,43,0.297248975,0.000101203,0.013949095,0.004385447,0.053671125,0.067940695,0.026110277,0.003221617,0.327710965,0.078583838,0.010086528,0.013274411,0.01054194,0,0.093173883
UA,57,0.232322182,0.000415826,0.017319168,0.008669979,0.035761066,0.062685822,0.022704119,0.005426534,0.390190656,0.109694991,0.017610246,0.007775953,0.011955008,0.01010458,0.067363869
UB,0,0.00229333,0.22285776,2.70E-05,0.139434492,0.001915605,0.0060436,0.446228146,0.023553853,0.002940859,0.0015109,0.000485646,0.000107921,0.002023527,0.010387438,0.140189942
UB,2,0.012675392,0.166253979,0.042329914,0.098750147,0.000412687,0.278328027,0.182230869,0.058660535,0.004067917,0.057540384,0,0.002122391,0.001827615,5.90E-05,0.094741186
UB,4,0.055104346,0.097810886,0.0236392,0.08033025,0.008686532,0.237521515,0.129598752,0.035122633,0.077049269,0.12876506,0.000215146,0.016862091,0.004894578,0.002716222,0.10168352
UB,6,0.105276932,0.043014846,0.035377807,0.071207651,0.021102969,0.143033879,0.090169395,0.016653978,0.168847545,0.191806243,0.000404454,0.004353826,0.009088314,0.005876475,0.093785687
UB,8,0.124065617,0.003342093,0.067224532,0.051917239,0.056815573,0.117432457,0.06069342,0.012500957,0.22856341,0.147332704,0.006709697,0.006837258,0.01431232,0.000204097,0.102048626
UB,15,0.159492834,0.001830209,0.053450937,0.058500551,0.090826902,0.052414553,0.022271224,0.004101433,0.328665932,0.103616318,0.016030871,0.005181918,0.017750827,2.21E-05,0.08584344
UB,22,0.279506484,0.001871355,0.021498825,0.015340761,0.03890678,0.09378536,0.018430673,0.005614066,0.313016799,0.088171294,0.006984942,0.005396466,0.013273566,0.000348159,0.097854469
UB,29,0.244368197,0.00241363,0.020208235,0.023166115,0.043350686,0.082844297,0.022503549,0.005963086,0.344794132,0.080785613,0.008707998,0.005797444,0.014694747,0.000402272,0.1
UB,43,0.210859066,0.001170789,0.025962242,0.016069077,0.051046393,0.052919655,0.022362066,0.003980682,0.378867262,0.116991073,0.012351822,0.009541929,0.015630031,0.000643934,0.081603981
UB,57,0.346458185,4.74E-05,0.019000237,0.004643449,0.05344705,0.039516702,0.02217484,0.002937692,0.294148306,0.06297086,0.013788202,0.015493959,0.015020137,0.000142146,0.110210851
UC,0,0.001662993,0.180531384,5.80E-05,0.106566887,0.000734811,0.018640987,0.519433809,0.024635495,0.004563561,0.001527633,0.000425417,1.93E-05,0.001914375,0.000947519,0.138337781
UC,2,0.007845208,0.087541961,0.001999019,0.078810395,0.000377173,0.262889903,0.263323653,0.077075397,0.005714178,0.083411911,1.89E-05,0.006317655,0.001980161,0.005902765,0.116791763
UC,4,0.014540545,0.055218661,8.85E-05,0.058007259,0.000221317,0.42661119,0.213084278,0.079342245,0.00601983,0.062942635,0,0.000486898,0.001084455,0.000686084,0.081666076
UC,6,0.171218518,0.009448321,0.001464633,0.011889377,2.87E-05,0.44875219,0.095488355,0.037908159,0.05226731,0.085034893,2.87E-05,0.001809253,0.00186669,0.002096436,0.080698429
UC,8,0.253449885,0.002946521,0.005647498,0.003192064,9.82E-05,0.336639984,0.068211953,0.016770613,0.124736041,0.11845013,0.000589304,0.003658596,0.002627314,0.001031282,0.061950597
UC,15,0.353476186,0.00662435,0.003748828,0.007178155,0.000127801,0.247145778,0.051631592,0.01190679,0.154596575,0.078597597,0.001086308,0.009073869,0.002492119,0.001554912,0.070759138
UC,22,0.385434531,0.002951382,0.002512663,0.002153711,3.99E-05,0.278068041,0.039803773,0.010569138,0.150719898,0.054480916,0.001395924,0.007577873,0.00191441,0.000119651,0.062258206
UC,29,0.335492707,0.002665285,0.003331606,0.00188791,0.000111054,0.31383727,0.037869253,0.011882727,0.160176205,0.049529873,0.000999482,0.00703339,0.00136966,0.000629303,0.073184275
UC,43,0.519090806,0.000235689,0.000791915,0,2.83E-05,0.235575835,0.016828192,0.007626895,0.126517837,0.015989139,0.000254544,0.002215476,0.000801342,0,0.074044046
UC,57,0.527690766,0.000181475,0.000252487,0.000189366,3.95E-05,0.284876794,0.023197279,0.005491601,0.09970096,0.007819219,0,0.001175644,0.000181475,0,0.049203481
UD,0,0.001184001,0.203241203,0,0.105672106,0.001184001,0.016465016,0.498982499,0.02985903,0.002257002,0.003108003,0,3.70E-05,0.001591002,0.001591002,0.134828135
UD,2,0.003105011,0.108675402,0.004657517,0.065453642,0.00260821,0.333850835,0.263429175,0.066881947,0.004533317,0.044960566,6.21E-05,0.006272123,0.001366205,0.000186301,0.093957648
UD,4,0.051876279,0.042938367,0.006208779,0.037025244,0.003593359,0.472344781,0.154127814,0.060654992,0.013099841,0.061178076,2.27E-05,0.007982715,0.001114396,0.003729816,0.084102797
UD,6,0.086618712,0.041199797,0.041061465,0.034675151,0.004749389,0.368169871,0.121662747,0.04020842,0.053764928,0.096578595,0,0.009152949,0.005394937,0.009083783,0.087679255
UD,8,0.127274153,0.0574289,0.072067127,0.032204099,0.012233375,0.201354036,0.103826851,0.016546424,0.091854872,0.144996863,0.000235257,0.044019239,0.008861355,0.002012756,0.085084693
UD,15,0.136925287,0.012212644,0.076939655,0.010488506,0.01012931,0.304741379,0.033692529,0.012715517,0.09058908,0.159698276,0.001795977,0.034841954,0.011350575,0,0.10387931
UD,22,0.352598409,0.006052118,0.015305357,0.009303256,0.004401541,0.24208473,0.036537788,0.010128545,0.099134697,0.106262192,0.000500175,0.018756565,0.005727004,0.001150403,0.09205722
UD,29,0.338698579,0.008107704,0.02315632,0.008017951,0.006940912,0.196080778,0.037068063,0.0065819,0.092356021,0.164936425,0.001824981,0.026746447,0.006252805,0.00170531,0.081525804
UD,57,0.427244715,0.008816229,0.027133442,0.00278182,0.005649234,0.202216896,0.01836001,0.002353847,0.107207053,0.121458529,0,0.030386031,0.005734828,0,0.040657365
